"R0000100","R0173600","R0214900","R0406300","R0618800","R0898500","R1144700","R1519900","R1890600","R2257700","R2445100","R2870600","R3074300","R3401000"
2165,5,3,5,7,4,7,3,3,3,3,1,1,1
2166,1,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2167,5,7,5,5,5,1,-5,-5,2,2,1,1,1
2168,1,1,1,5,1,1,1,1,1,1,1,1,1
2169,3,5,1,1,1,3,8,8,8,1,1,1,1
2170,3,3,5,3,1,8,8,8,8,8,8,8,8
2171,3,5,5,1,1,2,1,2,1,1,1,1,1
2172,1,5,5,5,1,1,1,1,1,1,1,1,1
2173,1,1,1,1,1,1,1,1,1,1,1,1,1
2174,6,1,3,4,4,1,1,1,1,3,2,1,1
2175,5,1,1,1,1,3,1,2,1,2,1,1,1
2176,5,1,1,1,1,1,1,1,1,1,1,1,1
2177,1,2,-5,-5,2,7,7,1,1,1,1,1,1
2178,1,1,1,1,1,8,8,8,8,8,8,8,8
2179,6,5,4,4,4,7,4,4,4,4,4,4,3
2180,1,1,1,1,1,1,1,1,1,1,1,1,1
2181,5,5,5,3,3,3,3,3,5,1,2,2,4
2182,1,1,1,1,1,1,2,1,-5,-5,1,2,1
2183,1,1,1,1,1,1,1,1,1,1,1,1,1
2184,1,1,5,5,1,1,1,1,1,1,1,1,1
2185,1,3,5,5,1,1,1,1,1,1,1,1,1
2186,5,5,5,7,1,1,1,1,1,1,1,1,1
2187,1,3,3,1,1,1,1,1,1,1,1,1,1
2188,1,1,1,1,1,1,1,1,1,1,1,1,1
2189,2,5,5,1,5,1,2,3,1,1,1,1,1
2190,5,1,3,1,4,1,4,4,1,1,1,1,1
2191,1,1,1,1,1,1,1,1,1,1,3,1,1
2192,1,1,-5,-5,-5,-5,-5,1,1,1,1,1,1
2193,5,1,-5,-5,-5,-5,1,1,1,1,1,1,1
2194,1,5,1,1,1,-5,-5,1,1,1,1,1,1
2195,1,1,1,1,3,1,6,1,1,1,1,1,3
2196,5,3,1,1,1,1,1,1,1,1,1,1,1
2197,3,1,1,5,1,1,1,1,1,1,1,1,1
2198,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5
2199,5,1,1,1,1,2,1,1,1,-5,-5,1,-5
2200,5,5,3,1,5,1,1,1,1,1,1,1,1
2201,5,1,3,1,1,1,1,1,1,1,8,8,8
2202,1,5,5,5,5,1,1,1,1,1,1,1,1
2203,5,1,1,1,1,1,1,1,1,1,1,1,1
2204,5,3,1,1,1,1,1,1,3,1,4,4,1
2205,5,1,1,1,1,1,1,1,1,1,1,1,1
2206,5,4,3,3,3,4,4,3,1,3,4,4,-5
2207,1,7,3,3,5,1,1,1,3,1,1,1,1
2208,3,1,1,1,1,1,3,1,1,1,1,6,1
2209,3,5,5,5,1,1,1,1,1,1,1,1,1
2210,7,5,5,5,3,3,1,3,1,1,4,1,1
2211,7,1,1,1,1,1,1,1,1,1,1,1,1
2212,7,5,5,5,5,3,1,1,1,1,1,1,1
2213,3,5,3,5,5,5,1,1,3,3,7,2,7
2214,7,5,3,3,1,2,1,1,1,1,1,1,1
2215,5,1,1,1,1,1,1,1,1,1,1,1,1
2216,2,1,1,1,1,1,1,1,1,1,1,1,1
2217,6,1,3,4,3,3,3,1,1,1,1,3,3
2218,1,5,1,5,5,5,1,1,1,1,1,1,1
2219,1,3,3,5,8,8,8,3,3,1,1,8,8
2220,1,1,1,1,1,1,1,1,1,1,1,1,1
2221,6,1,1,7,1,1,2,1,1,1,4,3,6
2222,1,5,3,1,1,1,2,1,1,1,1,1,1
2223,1,3,1,1,1,1,1,1,1,1,1,1,1
2224,5,5,5,1,3,3,1,1,1,1,1,4,4
2225,7,5,1,4,1,7,1,1,1,1,1,1,1
2226,3,1,1,1,1,3,3,3,1,1,3,1,4
2227,1,1,1,1,1,1,1,1,1,1,1,1,1
2228,5,1,1,1,1,1,2,1,1,1,1,1,1
2229,5,3,1,3,1,1,1,1,1,1,2,1,1
2230,5,5,5,1,1,1,1,1,1,1,1,1,1
2231,1,1,8,8,8,8,8,8,8,8,8,8,8
2232,5,5,5,5,1,1,1,4,3,1,1,1,1
2233,1,5,5,7,5,5,5,5,7,5,3,1,2
2234,5,1,5,5,1,1,5,1,1,1,1,1,1
2235,5,5,5,5,1,1,1,1,1,1,2,1,1
2236,1,1,5,5,5,5,5,5,5,8,8,8,-5
2237,5,1,5,1,7,1,1,1,1,1,2,2,2
2238,1,1,5,5,5,5,5,1,1,1,1,1,1
2239,1,1,3,5,5,5,5,1,1,1,1,1,1
2240,5,1,1,4,1,4,3,1,4,4,4,1,1
2241,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5
2242,5,1,1,1,1,1,1,1,1,1,1,1,1
